MAG_run_accession	ASV_run_accession	SAMPLEID
ERR1726725	ERR562518	TARA_124_SRF_0.8->
ERR1726731	ERR562408	TARA_076_SRF_20-180
ERR1726734	ERR562686	TARA_045_SRF_180-2000
ERR1726735	ERR562600	TARA_098_SRF_5-20
ERR1726736	ERR562463	TARA_038_DCM_20-180
ERR1726742	ERR562556	TARA_102_DCM_5-20
ERR1726743	ERR562502	TARA_022_DCM_20-180
ERR1726745	ERR562578	TARA_125_SRF_180-2000
ERR1726746	ERR562688	TARA_041_DCM_180-2000
ERR1726748	ERR562510	TARA_018_SRF_180-2000
ERR1726751	ERR562681	TARA_031_SRF_20-180
ERR1726752	ERR562649	TARA_031_SRF_180-2000
ERR1726753	ERR562411	TARA_018_DCM_180-2000
ERR1726754	ERR562374	TARA_041_DCM_20-180
ERR1726755	ERR562506	TARA_100_SRF_20-180
ERR1726759	ERR562362	TARA_024_SRF_180-2000
ERR1726760	ERR562576	TARA_109_DCM_0.8->
ERR1726762	ERR562444	TARA_123_SRF_0.8->
ERR1726763	ERR562509	TARA_124_SRF_180-2000
ERR1726765	ERR562578	TARA_125_SRF_180-2000
ERR1726766	ERR562722	TARA_109_SRF_180-2000
ERR1726770	ERR562637	TARA_123_SRF_180-2000
ERR1726771	ERR562421	TARA_111_DCM_5-20
ERR1726777	ERR562482	TARA_034_SRF_20-180
ERR1726780	ERR562580	TARA_076_DCM_5-20
ERR1726786	ERR562414	TARA_020_SRF_180-2000
ERR1726787	ERR562577	TARA_025_SRF_180-2000
ERR1726788	ERR562644	TARA_109_SRF_20-180
ERR1726789	ERR562722	TARA_109_SRF_180-2000
ERR1726791	ERR562727	TARA_011_SRF_20-180
ERR1726792	ERR562672	TARA_109_SRF_5-20
ERR1726793	ERR562660	TARA_066_DCM_0.8-5
ERR1726794	ERR562453	TARA_036_SRF_180-2000
ERR1726800	ERR562438	TARA_065_SRF_20-180
ERR1726801	ERR562644	TARA_109_SRF_20-180
ERR1726802	ERR562484	TARA_022_SRF_180-2000
ERR1726804	ERR562688	TARA_041_DCM_180-2000
ERR1726807	ERR562495	TARA_109_SRF_0.8->
ERR1726808	ERR562699	TARA_052_SRF_20-180
ERR1726809	ERR562453	TARA_036_SRF_180-2000
ERR1726810	ERR562484	TARA_022_SRF_180-2000
ERR1726811	ERR562417	TARA_018_DCM_20-180
ERR1726820	ERR562522	TARA_041_SRF_180-2000
ERR1726822	ERR562513	TARA_125_SRF_5-20
ERR1726825	ERR562584	TARA_078_DCM_180-2000
ERR1726826	ERR562446	TARA_122_DCM_180-2000
ERR1726827	ERR562479	TARA_004_SRF_180-2000
ERR1726829	ERR562660	TARA_066_DCM_0.8-5
ERR1726832	ERR562481	TARA_042_DCM_20-180
ERR1726833	ERR562660	TARA_066_DCM_0.8-5
ERR1726836	ERR562502	TARA_022_DCM_20-180
ERR1726838	ERR562652	TARA_032_SRF_20-180
ERR1726839	ERR562712	TARA_009_DCM_180-2000
ERR1726840	ERR562642	TARA_034_SRF_180-2000
ERR1726841	ERR562620	TARA_102_SRF_5-20
ERR1726842	ERR562483	TARA_102_DCM_0.8->
ERR1726843	ERR562493	TARA_036_DCM_180-2000
ERR1726844	ERR562626	TARA_041_SRF_20-180
ERR1726846	ERR562437	TARA_125_SRF_0.8->
ERR1726855	ERR562639	TARA_025_DCM_20-180
ERR1726856	ERR562390	TARA_109_DCM_5-20
ERR1726865	ERR562710	TARA_100_SRF_5-20
ERR1726866	ERR562660	TARA_066_DCM_0.8-5
ERR1726868	ERR562489	TARA_038_DCM_180-2000
ERR1726871	ERR562672	TARA_109_SRF_5-20
ERR1726875	ERR562660	TARA_066_DCM_0.8-5
ERR1726879	ERR562474	TARA_011_SRF_180-2000
ERR1726882	ERR562579	TARA_111_DCM_180-2000
ERR1726883	ERR562651	TARA_122_SRF_180-2000
ERR1726891	ERR562651	TARA_122_SRF_180-2000
ERR1726892	ERR562491	TARA_124_SRF_20-180
ERR1726896	ERR562600	TARA_098_SRF_5-20
ERR1726898	ERR562660	TARA_066_DCM_0.8-5
ERR1726899	ERR562505	TARA_070_SRF_20-180
ERR1726900	ERR562384	TARA_098_DCM_180-2000
ERR1726902	ERR562615	TARA_033_SRF_20-180
ERR1726903	ERR562621	TARA_125_SRF_20-180
ERR1726904	ERR562390	TARA_109_DCM_5-20
ERR1726905	ERR562424	TARA_032_DCM_180-2000
ERR1726909	ERR562610	TARA_100_SRF_180-2000
ERR1726910	ERR562687	TARA_034_DCM_5-20
ERR1726912	ERR562513	TARA_125_SRF_5-20
ERR1726913	ERR562444	TARA_123_SRF_0.8->
ERR1726915	ERR562450	TARA_039_DCM_20-180
ERR1726916	ERR562612	TARA_111_SRF_180-2000
ERR1726917	ERR562368	TARA_032_SRF_180-2000
ERR1726918	ERR562615	TARA_033_SRF_20-180
ERR1726920	ERR562493	TARA_036_DCM_180-2000
ERR1726922	ERR562446	TARA_122_DCM_180-2000
ERR1726925	ERR562374	TARA_041_DCM_20-180
ERR1726926	ERR562628	TARA_033_SRF_180-2000
ERR1726927	ERR562499	TARA_122_SRF_20-180
ERR1726929	ERR562439	TARA_022_SRF_5-20
ERR1726932	ERR562499	TARA_122_SRF_20-180
ERR1726933	ERR562495	TARA_109_SRF_0.8->
ERR1726934	ERR562400	TARA_042_SRF_180-2000
ERR1726937	ERR562408	TARA_076_SRF_20-180
ERR1726938	ERR562654	TARA_122_SRF_5-20
ERR1726942	ERR562681	TARA_031_SRF_20-180
ERR1726945	ERR562370	TARA_109_DCM_20-180
ERR1726945	ERR562598	TARA_109_DCM_20-180
ERR1726946	ERR562578	TARA_125_SRF_180-2000
ERR1726950	ERR562416	TARA_076_DCM_20-180
ERR1726951	ERR562613	TARA_036_SRF_20-180
ERR1726953	ERR562474	TARA_011_SRF_180-2000
ERR1726955	ERR562495	TARA_109_SRF_0.8->
ERR1726956	ERR562448	TARA_018_SRF_20-180
ERR1726959	ERR562524	TARA_122_DCM_5-20
ERR1726960	ERR562462	TARA_034_DCM_20-180
ERR1726961	ERR562403	TARA_123_SRF_5-20
ERR1726964	ERR562370	TARA_109_DCM_20-180
ERR1726964	ERR562598	TARA_109_DCM_20-180
ERR1726965	ERR562417	TARA_018_DCM_20-180
ERR1726969	ERR562601	TARA_070_SRF_5-20
ERR1726970	ERR562435	TARA_098_SRF_20-180
ERR1726974	ERR562363	TARA_045_SRF_5-20
ERR1726975	ERR562647	TARA_072_SRF_0.8-5
ERR1726976	ERR562608	TARA_025_SRF_20-180
ERR1726978	ERR562714	TARA_052_SRF_180-2000
ERR1726979	ERR562609	TARA_039_SRF_20-180
ERR1740324	ERR562680	TARA_078_DCM_0.8->
ERR1740325	ERR562426	TARA_084_SRF_0.8->
ERR1740326	ERR562512	TARA_076_SRF_0.8->
ERR1740327	ERR562494	TARA_085_DCM_5-20
ERR1740328	ERR562667	TARA_065_SRF_0.8-5
ERR538171	ERR562472	TARA_023_SRF_20-180
ERR538172	ERR562582	TARA_023_DCM_5-20
ERR538173	ERR562431	TARA_023_SRF_0.8-5
ERR538174	ERR562633	TARA_023_DCM_180-2000
ERR538175	ERR562436	TARA_023_DCM_0.8-5
ERR538176	ERR562425	TARA_007_DCM_20-180
ERR538177	ERR562533	TARA_023_DCM_20-180
ERR538178	ERR562656	TARA_030_SRF_5-20
ERR538179	ERR562618	TARA_030_DCM_0.8-5
ERR538180	ERR562428	TARA_007_SRF_180-2000
ERR538181	ERR562575	TARA_007_DCM_5-20
ERR538182	ERR562726	TARA_007_DCM_0.8-5
ERR538183	ERR562558	TARA_007_SRF_20-180
ERR538184	ERR562705	TARA_023_SRF_5-20
ERR538185	ERR562571	TARA_023_SRF_180-2000
ERR538186	ERR562585	TARA_030_SRF_0.8-5
ERR538187	ERR562575	TARA_007_DCM_5-20
ERR538188	ERR562447	TARA_030_DCM_5-20
ERR538189	ERR562515	TARA_030_SRF_20-180
ERR538190	ERR562674	TARA_007_SRF_5-20
ERR599204	ERR562684	TARA_072_SRF_5-20
ERR599205	ERR562717	TARA_065_DCM_5-20
ERR599206	ERR562494	TARA_085_DCM_5-20
ERR599208	ERR562534	TARA_066_SRF_5-20
ERR599210	ERR562667	TARA_065_SRF_0.8-5
ERR599214	ERR562387	TARA_085_SRF_180-2000
ERR599215	ERR562540	TARA_052_DCM_5-20
ERR599218	ERR562537	TARA_065_SRF_5-20
