Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species
Eukaryota	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Lecanoromycetes	Physcia	NA
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlorococcum	Chlorococcum_echinozygotum
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Facetotecta	Facetotecta_sp.
Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Poterioochromonas	NA
Eukaryota	Opisthokonta	Fungi	Basidiomycota	Pucciniomycotina	Pucciniomycetes	Uromyces	Uromyces_appendiculatus
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Hemicyclops	Hemicyclops_thalassius
Eukaryota	Alveolata	Ciliophora	Phyllopharyngea	Suctoria	NA	NA	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Chelicerata	Arachnida	Dermatophagoides	Dermatophagoides_farinae
Eukaryota	Alveolata	Ciliophora	Nassophorea	Nassophorea_X	Nassulida	Nassula	Nassula_labiata
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Malacostraca	Cinetorhynchus	Cinetorhynchus_manningi
Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Hyphodontia	Hyphodontia_sp.
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Thecadiniaceae	Thecadinium	Thecadinium_kofoidii
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Pinnularia	NA
Eukaryota	Rhizaria	Cercozoa	Phaeodarea	Phaeodendrida	Coelodendridae	Coelodendrum	NA
Eukaryota	Stramenopiles	Opalozoa	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_ratti
Eukaryota	Opisthokonta	Metazoa	Echinodermata	Echinodermata_X	Echinodermata_XX	Mediaster	Mediaster_aequalis
Eukaryota	Opisthokonta	Metazoa	Annelida	Annelida_X	Annelida_XX	Neodexiospira	Neodexiospira_steueri
Eukaryota	Opisthokonta	Metazoa	Porifera	Porifera_X	Demospongiae	Phorbas	Phorbas_dives
Eukaryota	Opisthokonta	Metazoa	Porifera	Porifera_X	Demospongiae	Halichondria	Halichondria_bowerbanki
Eukaryota	Stramenopiles	Pseudofungi	Oomycota	Oomycota_X	Eurychasmales	Eurychasma	Eurychasma_dicksonii
Eukaryota	Opisthokonta	Metazoa	Nemertea	Nemertea_X	Nemertea_XX	Argonemertes	Argonemertes_australiensis
Eukaryota	Opisthokonta	Metazoa	Annelida	Annelida_X	Annelida_XX	Exogone	Exogone_naidinoides
Eukaryota	Opisthokonta	Metazoa	Platyhelminthes	Turbellaria	Macrostomorpha	Microstomum	Microstomum_papillosum
Eukaryota	Opisthokonta	Metazoa	Metazoa_X	Metazoa_XX	Metazoa_XXX	Drepanogigas	Drepanogigas_albolineatus
Eukaryota	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Colletotrichum	Colletotrichum_gloeosporioides
Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Eugregarinorida	Gregarinidae	Leidyana2	Leidyana2_sp.
Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Antrodia	Antrodia_xantha
Eukaryota	Opisthokonta	Fungi	Basidiomycota	Pucciniomycotina	Cystobasidiomycetes	Rhodotorula	Rhodotorula_acheniorum
Eukaryota	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Lecanoromycetes	Toninia	Toninia_sedifolia
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Chelicerata	Arachnida	Phyllocoptes	Phyllocoptes_sp.
Eukaryota	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Anthozoa	Calliactis	Calliactis_polypus
Eukaryota	Opisthokonta	Metazoa	Mollusca	Bivalvia	Mytiloida	Modiolus	NA
